IMPORTANT DEBUGGING NOTE: batches of tests are run inside their
own process. For debugging a test inside a debugger, use the
--gtest_filter=<your_test_name> flag along with
--single-process-tests.
Using sharding settings from environment. This is shard 0/1
Using 32 parallel jobs.
[1/96] AppSourceUrlRecorderTest.CheckArcPackageName (1 ms)
[2/96] AppSourceUrlRecorderTest.CheckPWA (0 ms)
[3/96] UkmBitSet.BitSet (0 ms)
[4/96] UkmGmockMatchersTest.HasMetric (0 ms)
[5/96] UkmGmockMatchersTest.HasMetricDescription (0 ms)
[6/96] UkmGmockMatchersTest.HasMetricWithValue (0 ms)
[7/96] UkmGmockMatchersTest.HasMetricWithValueDescription (0 ms)
[8/96] UkmGmockMatchersTest.HasMetricWithValueExplanation (0 ms)
[9/96] UkmConsentStateObserverTest.NoProfiles (0 ms)
[10/96] UkmConsentStateObserverTest.NotActive (0 ms)
[11/96] UkmConsentStateObserverTest.OneEnabled (0 ms)
[12/96] UkmConsentStateObserverTest.MixedProfiles (0 ms)
[13/96] UkmConsentStateObserverTest.TwoEnabled (0 ms)
[14/96] UkmConsentStateObserverTest.OneAddRemove (0 ms)
[15/96] UkmConsentStateObserverTest.PurgeOnDisable (0 ms)
[16/96] UkmConsentStateObserverTest.NoInitialUkmConsentState (0 ms)
[17/96] UkmConsentStateObserverMigrationTest.Migration_SignedOut_MSBBEnabled (0 ms)
[18/96] UkmConsentStateObserverMigrationTest.Migration_SignedIn_AllEnabled (0 ms)
[19/96] UkmConsentStateObserverMigrationTest.Migration_SignedIn_APPSDisabled (0 ms)
[20/96] UkmConsentStateObserverMigrationTest.Migration_AlreadyDone (0 ms)
[21/96] UkmServiceTest.SourceSerialization (1 ms)
[22/96] UkmServiceTest.SourceSerializationForAllowlistedButNonNavigationType (0 ms)
[23/96] UkmServiceTest.LogMetadataOnlyAppKMSourceType (1 ms)
[24/96] UkmServiceTest.LogMetadataOnlyUKMSourceType (1 ms)
[25/96] UkmServiceTest.LogMetadataBothSourceType (1 ms)
[26/96] UkmServiceTest.AddEntryWithEmptyMetrics (1 ms)
[27/96] UkmServiceTest.MetricsProviderTest (0 ms)
[28/96] UkmServiceTest.SystemProfileTest (1 ms)
[29/96] UkmServiceTest.RecordingEnabledWithoutConsentRestructure (0 ms)
[30/96] UkmServiceTest.RecordingEnabledWithConsentRestructure (0 ms)
[31/96] UkmRecorderImplTest.ObserverNotifiedOnPurge (1 ms)
[32/96] UkmRecorderImplTest.ObserverNotifiedOnUkmAllowedStateChanged (0 ms)
[33/96] UkmRecorderImplTest.AddRemoveObserver (0 ms)
[34/96] UkmRecorderImplTest.VerifyShouldDropEntry (0 ms)
[35/96] UkmRecorderImplTest.WebDXFeaturesConsent (0 ms)
[36/96] UkmRecorderImplTest.WebDXFeaturesSampling (0 ms)
[37/96] UkmRecorderImplTest.GetDocumentToNavigationUrlsMap (2 ms)
[38/96] UkmRecorderImplTest.GetDocumentToNavigationUrlsMap_MissingSubframeSource (0 ms)
[39/96] UkmRecorderImplTest.GetDocumentToNavigationUrlsMap_Redirect (0 ms)
[40/96] UkmRecorderImplTest.DocumentCreatedNotSerialized (0 ms)
[41/96] UkmRecorderImplTest.StoreDownsamplingParametersInReport (0 ms)
[42/96] UkmServiceTest.ClientIdClonedInstall (0 ms)
[43/96] UkmServiceTest.EnableDisableSchedule (0 ms)
[44/96] UkmServiceTest.PersistAndPurge (2 ms)
[45/96] UkmServiceTest.Purge (0 ms)
[46/96] UkmServiceTest.PurgeExtensionDataFromUnsentLogStore (0 ms)
[47/96] UkmServiceTest.PurgeExtensionDataFromUnsentLogStoreWithVersionChange (0 ms)
[48/96] UkmServiceTest.PurgeAppDataFromUnsentLogStore (0 ms)
[49/96] UkmServiceTest.PurgeMsbbDataFromUnsentLogStore (0 ms)
[50/96] UkmServiceTest.PurgeAppDataLogMetadataUpdate (0 ms)
[51/96] UkmServiceTest.AddUserDemograhicsWhenAvailableAndFeatureEnabled (2 ms)
[52/96] UkmServiceTest.DontAddUserDemograhicsWhenNotAvailableAndFeatureEnabled (0 ms)
